更新日,代號,名稱,市場,今收,漲停,跌停,threshold3,threshold4,條件3,條件4,條件6門檻(TP)
2026/08/30,5464,霖宏科技,上櫃,73.1,80.4,65.8,53.87,66.83,必成立,盤中決定,70.9353
2026/08/30,3167,大量,上市,783,861,705,503,806.05,必成立,盤中決定,760.519
2026/08/30,5321,美而快,上櫃,85,93.5,76.5,-17.33,-56.01,必成立,必成立,87.8671
2026/08/30,4908,前鼎光電,上櫃,190,209,171,48,109.45,必成立,必成立,186.2908
2026/08/30,6829,千附精密,上櫃,238,261.5,214.5,115.5,106.64,必成立,必成立,241.1526
2026/08/30,1714,和桐,上市,16.7,18.35,15.05,15.87,16.36,盤中決定,盤中決定,16.8888
2026/08/30,2486,一詮,上市,261,287,235,126.67,146.95,必成立,必成立,266.967
2026/08/30,7750,新代,上市,2300,2530,2070,2415,1383.64,盤中決定,必成立,2371.3715
2026/08/30,3229,晟鈦,上市,55.4,60.9,49.9,35.55,-2.06,必成立,必成立,58.8711
2026/08/30,6907,雅特力-KY,上櫃,186,204.5,167.5,174.33,131.5,盤中決定,必成立,186.9035
2026/08/30,2302,麗正,上市,43.85,48.2,39.5,43.42,40.02,盤中決定,盤中決定,44.1096
2026/08/30,5475,德宏工業,上櫃,201,221,181,8.83,192.05,必成立,盤中決定,202.5124
2026/08/30,3037,欣興,上市,1110,1220,999,628.33,143.91,必成立,必成立,1177.7052
2026/08/30,3576,聯合再生,上市,17.5,19.25,15.75,17.82,18.65,盤中決定,盤中決定,17.3115
2026/08/30,3443,創意,上市,6015,6615,5415,1855,-783.64,必成立,必成立,6189.4309
2026/08/30,3455,由田新技,上櫃,254,279,229,112.5,102.73,必成立,必成立,259.0693
2026/08/30,2489,瑞軒,上市,40.2,44.2,36.2,0.37,22.37,必成立,必成立,42.3556
2026/08/30,8046,南電,上市,1240,1360,1120,971.67,506.55,必成立,必成立,1232.813
2026/08/30,6531,愛普*,上市,895,984,806,770.67,875.73,必成立,盤中決定,913.0396
2026/08/30,6224,聚鼎,上市,74.5,81.9,67.1,6.4,32.25,必成立,必成立,81.4337
2026/08/30,3135,凌航,上市,181,199,163,110.17,138.45,必成立,必成立,185.8466
2026/08/30,7556,意德士,上櫃,257.5,283,232,147.83,222.5,必成立,必成立,266.686
2026/08/30,6213,聯茂,上市,582,640,524,-36,-511,必成立,必成立,595.6338
2026/08/30,6830,汎銓,上市,525,577,472.5,37.83,137.77,必成立,必成立,540.1202
2026/08/30,6278,台表科,上市,201.5,221.5,181.5,64.17,118.32,必成立,必成立,205.6415
2026/08/30,2426,鼎元,上市,96.1,105.5,86.5,-36.87,-40.24,必成立,必成立,101.279
2026/08/30,4707,磐亞,上櫃,32.55,35.8,29.3,25.88,14.59,必成立,必成立,34.0329
2026/08/30,4979,華星光,上櫃,610,671,549,208.83,-49.82,必成立,必成立,630.2645
2026/08/30,3388,崇越電通,上櫃,96.3,105.5,86.7,36,36.11,必成立,必成立,98.8857
2026/08/30,2344,華邦電,上市,181.5,199.5,163.5,144,141.27,必成立,必成立,186.3816
2026/08/30,7751,竑騰,上櫃,1790,1965,1615,-156.67,-594.09,必成立,必成立,1952.0038
2026/08/30,2454,聯發科,上市,3985,4380,3590,4186.67,4333.64,盤中決定,盤中決定,3884.1659
2026/08/30,2383,台光電,上市,5490,6035,4945,5810,3795,盤中決定,必成立,5651.6326
2026/08/30,6672,騰輝電子-KY,上市,289.5,318,261,175.83,139,必成立,必成立,289.4728
2026/08/30,8155,博智,上櫃,372,409,335,146.17,268.59,必成立,必成立,365.9068
2026/08/30,4991,環宇-KY,上櫃,520,572,468,378.33,415.41,必成立,必成立,515.3289
2026/08/30,2491,吉祥全,上市,56.4,62,50.8,-23.05,-25.74,必成立,必成立,52.9236
2026/08/30,3498,陽程,上櫃,189.5,208,171,-59.83,-170.75,必成立,必成立,214.2108
2026/08/30,3362,先進光,上櫃,199.5,219,180,96.33,76.41,必成立,必成立,205.0152
2026/08/30,6716,應廣,上櫃,128,140.5,115.5,56.8,-23.93,必成立,必成立,134.3575
2026/08/30,6770,力積電,上市,70,77,63,66.97,68.4,盤中決定,盤中決定,71.1708
2026/08/30,3163,波若威,上櫃,754,829,679,485,681.91,必成立,盤中決定,791.9731
