資料日期,融資金額_仟元
2025-07-01 00:00:00,80517760
2025-07-02 00:00:00,81130366
2025-07-03 00:00:00,81447882
2025-07-04 00:00:00,80915245
2025-07-07 00:00:00,80298610
2025-07-08 00:00:00,80275599
2025-07-09 00:00:00,80588457
2025-07-10 00:00:00,80976404
2025-07-11 00:00:00,81583521
2025-07-14 00:00:00,81586997
2025-07-15 00:00:00,82173968
2025-07-16 00:00:00,82869842
2025-07-17 00:00:00,83859142
2025-07-18 00:00:00,83892070
2025-07-21 00:00:00,83964251
2025-07-22 00:00:00,82925169
2025-07-23 00:00:00,83560214
2025-07-24 00:00:00,84276777
2025-07-25 00:00:00,84116926
2025-07-28 00:00:00,84952860
2025-07-29 00:00:00,84740077
2025-07-30 00:00:00,85608045
2025-07-31 00:00:00,86491970
2025-08-01 00:00:00,86950456
2025-08-04 00:00:00,87150878
2025-08-05 00:00:00,87543681
2025-08-06 00:00:00,88397448
2025-08-07 00:00:00,89121053
2025-08-08 00:00:00,89553438
2025-08-11 00:00:00,90082371
2025-08-12 00:00:00,90446177
2025-08-13 00:00:00,91051567
2025-08-14 00:00:00,93185538
2025-08-15 00:00:00,94134539
2025-08-18 00:00:00,96510747
2025-08-19 00:00:00,97099762
2025-08-20 00:00:00,97192106
2025-08-21 00:00:00,97957974
2025-08-22 00:00:00,97596707
2025-08-25 00:00:00,98891066
2025-08-26 00:00:00,99405179
2025-08-27 00:00:00,100521246
2025-08-28 00:00:00,101571871
2025-08-29 00:00:00,102859373
2025-09-01 00:00:00,102068036
2025-09-02 00:00:00,102507884
2025-09-03 00:00:00,103358839
2025-09-04 00:00:00,102713073
2025-09-05 00:00:00,104273971
2025-09-08 00:00:00,105464734
2025-09-09 00:00:00,105997206
2025-09-10 00:00:00,107074937
2025-09-11 00:00:00,105857114
2025-09-12 00:00:00,106274051
2025-09-15 00:00:00,106099143
2025-09-16 00:00:00,106738143
2025-09-17 00:00:00,106726010
2025-09-18 00:00:00,108755901
2025-09-19 00:00:00,109432933
2025-09-22 00:00:00,111295943
2025-09-23 00:00:00,110507245
2025-09-24 00:00:00,110512661
2025-09-25 00:00:00,110510998
2025-09-26 00:00:00,108351185
2025-09-30 00:00:00,108603976
2025-10-01 00:00:00,109921890
2025-10-02 00:00:00,111123806
2025-10-03 00:00:00,112006250
2025-10-07 00:00:00,112075935
2025-10-08 00:00:00,111529772
2025-10-09 00:00:00,111255339
2025-10-13 00:00:00,108678801
2025-10-14 00:00:00,105798630
2025-10-15 00:00:00,106196682
2025-10-16 00:00:00,106460928
2025-10-17 00:00:00,107028891
2025-10-20 00:00:00,107311802
2025-10-21 00:00:00,108442290
2025-10-22 00:00:00,108142690
2025-10-23 00:00:00,107437788
2025-10-27 00:00:00,108208501
2025-10-28 00:00:00,108921337
2025-10-29 00:00:00,109130504
2025-10-30 00:00:00,108815684
2025-10-31 00:00:00,109742145
2025-11-03 00:00:00,111172301
2025-11-04 00:00:00,109527315
2025-11-05 00:00:00,108988378
2025-11-06 00:00:00,109173483
2025-11-07 00:00:00,108538311
2025-11-10 00:00:00,108539712
2025-11-11 00:00:00,108307198
2025-11-12 00:00:00,109255953
2025-11-13 00:00:00,108534329
