資料日期,代號,名稱,收盤,漲跌,漲跌幅(%),買超張數,買超金額(千元)
2026/09/08,2344,華邦電,188,8,4.44,86244,16267664
2026/09/08,2409,友達,29.6,0.9,3.14,52278,1628549
2026/09/08,2408,南亞科,531,14,2.71,30552,16322007
2026/09/08,2834,臺企銀,17.7,0.5,2.91,21537,377964
2026/09/08,00631L,元大台灣50正2,37.49,-0.35,-0.92,20081,765795
2026/09/08,2887,台新新光金,42.8,1.7,4.14,17949,757612
2026/09/08,00403A,主動統一升級50,10.24,-0.15,-1.44,17563,182172
2026/09/08,2884,玉山金,45.55,2,4.59,14739,661662
2026/09/08,0050,元大台灣50,109.65,-0.25,-0.23,14499,1598391
2026/09/08,00632R,元大台灣50反1,9.7,0.06,0.62,8364,81479
2026/09/08,1815,富喬,135,5,3.85,7119,1084029
2026/09/08,00891,中信關鍵半導體,35.88,0.02,0.06,6929,250366
2026/09/08,2330,台積電,2470,10,0.41,6722,16710960
2026/09/08,5876,上海商銀,48.75,1.8,3.83,6690,320058
2026/09/08,2610,華航,20.6,0.15,0.73,6613,136036
2026/09/08,2337,旺宏,126,1.5,1.2,6165,790184
2026/09/08,2801,彰銀,27.25,0.75,2.83,6056,163104
2026/09/08,6116,彩晶,14.3,0.1,0.7,5695,82109
2026/09/08,2002,中鋼,19.1,0.1,0.53,5620,107300
2026/09/08,2890,永豐金,43.45,0.85,2,5481,236976
2026/09/08,5880,合庫金,26.85,0.35,1.32,5312,141752
2026/09/08,0052,富邦科技,63.6,-0.15,-0.24,5044,323018
2026/09/08,2892,第一金,37.85,0.55,1.47,4812,181307
2026/09/08,2880,華南金,45.15,0.8,1.8,4792,214910
2026/09/08,00409A,主動復華全球50,9.9,-0.01,-0.1,4596,45653
2026/09/08,1303,南亞,235,4.5,1.95,4238,1022541
2026/09/08,00988A,主動統一全球創新,16.27,0.01,0.06,4169,67917
2026/09/08,1605,華新,38.1,0.2,0.53,4088,157075
2026/09/08,2883,凱基金,37.3,0.35,0.95,3933,146943
2026/09/08,2885,元大金,70.6,0.4,0.57,3894,273916
2026/09/08,2886,兆豐金,50.6,0.4,0.8,3732,188253
2026/09/08,2891,中信金,68.2,0.8,1.19,3711,252706
2026/09/08,8064,東捷,134.5,12,9.8,3436,462166
2026/09/08,5314,世紀*,38.7,3.5,9.94,3407,132482
2026/09/08,2412,中華電,139,1,0.72,3288,455554
2026/09/08,1216,統一,76.7,1.5,1.99,3267,249358
2026/09/08,6179,亞通,33.1,3,9.97,3248,105898
2026/09/08,00955,中信日本商社,16.58,0.25,1.53,3082,51075
2026/09/08,2618,長榮航,42.45,0.35,0.83,2933,124029
2026/09/08,3167,大量,938,55,6.23,2703,2577877
2026/09/08,009824,群益美國科技巨頭,10.11,-0.01,-0.1,2479,25100
2026/09/08,2812,台中銀,19.4,0.15,0.78,2369,45927
2026/09/08,00680L,元大美債20正2,6.39,0.02,0.31,2327,14917
2026/09/08,5871,中租-KY,115,2.5,2.22,2259,258712
2026/09/08,00679B,元大美債20年,25.6,-0.02,-0.08,2244,57438
2026/09/08,4958,臻鼎-KY,505,4,0.8,2231,1143907
2026/09/08,6620,漢達,124,11,9.73,2103,259920
2026/09/08,00411A,主動統一前沿科技,9.76,-0.05,-0.51,2102,20658
2026/09/08,00997A,主動群益美國增長,11.07,0.03,0.27,2064,22885
2026/09/08,3260,威剛,414,2,0.49,1975,840111
2026/09/09,00403A,主動統一升級50,10.35,0.11,1.07,118928,1239085
2026/09/09,3481,群創,50.1,1.3,2.66,77645,3960302
2026/09/09,2409,友達,30.5,0.9,3.04,65388,2080302
2026/09/09,00685L,群益臺灣加權正2,12.39,0.04,0.32,40740,511699
2026/09/09,00981A,主動統一台股增長,29.92,0.19,0.64,36127,1092641
2026/09/09,00631L,元大台灣50正2,37.54,0.05,0.13,28854,1099829
2026/09/09,00405A,主動富邦台灣龍耀,8.78,0.07,0.8,22213,197607
2026/09/09,1409,新纖,26.85,2.4,9.82,18513,494192
2026/09/09,6505,台塑化,87.5,7.9,9.92,15287,1316563
2026/09/09,00407A,主動凱基台灣,9.74,0.06,0.62,15285,150327
2026/09/09,6147,頎邦,198,11.5,6.17,13474,2676963
2026/09/09,00411A,主動統一前沿科技,9.95,0.19,1.95,12928,128710
2026/09/09,2834,臺企銀,17.95,0.25,1.41,12665,226120
2026/09/09,00991A,主動復華未來50,17.7,0.03,0.17,11421,206350
2026/09/09,2002,中鋼,19.25,0.15,0.79,10454,200781
2026/09/09,1101,台泥,24.75,0.45,1.85,9535,236171
2026/09/09,2382,廣達,342,14,4.27,9450,3221224
2026/09/09,9105,泰金寶-DR,8.89,0.21,2.42,9051,79936
2026/09/09,6770,力積電,72.4,0,0,8648,646255
2026/09/09,1301,台塑,66.7,1.6,2.46,7509,501526
2026/09/09,3231,緯創,189,2.5,1.34,7433,1415493
2026/09/09,2609,陽明,58.5,1.2,2.09,7330,428344
2026/09/09,8150,南茂,91.5,1.2,1.33,7274,684179
2026/09/09,3711,日月光投控,640,22,3.56,7237,4620434
2026/09/09,2303,聯電,141.5,4.5,3.28,7222,1107669
2026/09/09,1326,台化,71.8,1.2,1.7,6828,495545
2026/09/09,0050,元大台灣50,109.65,0,0,6678,738403
2026/09/09,6116,彩晶,14.65,0.35,2.45,6665,100601
2026/09/09,00940,元大台灣價值高息,12.94,0.12,0.94,6567,84864
2026/09/09,2353,宏碁,31.8,0.75,2.42,5962,189612
2026/09/09,00992A,主動群益科技創新,18.25,0.2,1.11,5875,107964
2026/09/09,1314,中石化,8.21,0.1,1.23,5780,47484
2026/09/09,00878,國泰永續高股息,34.13,0.06,0.18,5757,196768
2026/09/09,3042,晶技,184.5,12.5,7.27,5733,1057906
2026/09/09,3105,穩懋,464,22.5,5.1,5201,2473600
2026/09/09,00982A,主動群益台灣強棒,22.89,0.12,0.53,4926,113758
2026/09/09,00988A,主動統一全球創新,16.28,0.01,0.06,4903,80234
2026/09/09,1312,國喬,14.65,0.75,5.4,4485,65165
2026/09/09,00937B,群益ESG投等債20+,14.2,0.01,0.07,4482,63628
2026/09/09,2356,英業達,64.3,0.3,0.47,4464,289270
2026/09/09,00400A,主動國泰動能高息,15.06,0.06,0.4,4269,65277
2026/09/09,3037,欣興,993,39,4.09,4010,3978548
2026/09/09,6179,亞通,36.4,3.3,9.97,3976,142180
2026/09/09,1718,中纖,10.85,0.45,4.33,3973,43075
2026/09/09,6239,力成,281,5.5,2,3619,1030811
2026/09/09,5347,世界,157,5,3.29,3464,545809
2026/09/09,00990A,主動元大AI新經濟,15.16,0.04,0.26,3139,47699
2026/09/09,2049,上銀,370.5,20.5,5.86,3061,1140572
2026/09/09,2377,微星,156.5,4,2.62,2964,464580
2026/09/09,0052,富邦科技,63.75,0.15,0.24,2957,189474
