ETF,股票代號,股票名稱,持股張數,佔淨值(%),資料日期
00403A,2330,台積電,11000,16.22,2026-08-31 00:00:00
00403A,3017,奇鋐,3150,6.62,2026-08-31 00:00:00
00403A,2383,台光電,1600,5.38,2026-08-31 00:00:00
00403A,3037,欣興,8460,5.18,2026-08-31 00:00:00
00403A,2454,聯發科,2110,5.08,2026-08-31 00:00:00
00403A,3653,健策,1115,4.1,2026-08-31 00:00:00
00403A,2303,聯電,50000,3.96,2026-08-31 00:00:00
00403A,3008,大立光,810,3.8,2026-08-31 00:00:00
00403A,6223,旺矽,1100,3.46,2026-08-31 00:00:00
00403A,2327,國巨*,9785,3.27,2026-08-31 00:00:00
00403A,2308,台達電,2880,3.25,2026-08-31 00:00:00
00403A,6669,緯穎,700,3.05,2026-08-31 00:00:00
00403A,2345,智邦,2307,2.88,2026-08-31 00:00:00
00403A,3711,日月光投控,7000,2.51,2026-08-31 00:00:00
00403A,3443,創意,650,2.43,2026-08-31 00:00:00
00403A,8046,南電,2640,1.99,2026-08-31 00:00:00
00403A,3665,貿聯-KY,1293,1.72,2026-08-31 00:00:00
00403A,3189,景碩,3400,1.71,2026-08-31 00:00:00
00403A,6274,台燿,1900,1.67,2026-08-31 00:00:00
00403A,1303,南亞,11000,1.64,2026-08-31 00:00:00
00403A,6488,環球晶,2800,1.57,2026-08-31 00:00:00
00403A,6805,富世達,1050,1.48,2026-08-31 00:00:00
00403A,5274,信驊,150,1.47,2026-08-31 00:00:00
00403A,2344,華邦電,12000,1.34,2026-08-31 00:00:00
00403A,8996,高力,1737,1.25,2026-08-31 00:00:00
00403A,2360,致茂,1000,1.2,2026-08-31 00:00:00
00403A,6239,力成,5360,0.91,2026-08-31 00:00:00
00403A,2317,鴻海,3200,0.49,2026-08-31 00:00:00
00403A,3211,順達,2000,0.47,2026-08-31 00:00:00
00403A,7769,鴻勁,130,0.47,2026-08-31 00:00:00
00403A,3583,辛耘,800,0.36,2026-08-31 00:00:00
00403A,2337,旺宏,4500,0.35,2026-08-31 00:00:00
00403A,2059,川湖,35,0.3,2026-08-31 00:00:00
00403A,3533,嘉澤,250,0.26,2026-08-31 00:00:00
00403A,6442,光聖,225,0.22,2026-08-31 00:00:00
00403A,8358,金居,600,0.2,2026-08-31 00:00:00
00403A,3450,聯鈞,400,0.16,2026-08-31 00:00:00
00403A,2404,漢唐,250,0.16,2026-08-31 00:00:00
00403A,1717,長興,2800,0.14,2026-08-31 00:00:00
00403A,1560,中砂,300,0.13,2026-08-31 00:00:00
00403A,2455,全新,386,0.11,2026-08-31 00:00:00
00403A,3264,欣銓,700,0.1,2026-08-31 00:00:00
00403A,4966,譜瑞-KY,220,0.08,2026-08-31 00:00:00
00403A,2449,京元電子,500,0.08,2026-08-31 00:00:00
00403A,6285,啟碁,350,0.05,2026-08-31 00:00:00
00403A,8299,群聯,1,0,2026-08-31 00:00:00
00403A,6196,帆宣,1,0,2026-08-31 00:00:00
00403A,4958,臻鼎-KY,1,0,2026-08-31 00:00:00
00403A,2049,上銀,1,0,2026-08-31 00:00:00
00403A,5347,世界,1,0,2026-08-31 00:00:00
00403A,2481,強茂,1,0,2026-08-31 00:00:00
00981A,2330,台積電,11014,9.38,2026-08-31 00:00:00
00981A,2383,台光電,4757,9.24,2026-08-31 00:00:00
00981A,3017,奇鋐,5949,7.21,2026-08-31 00:00:00
00981A,3037,欣興,20300,7.18,2026-08-31 00:00:00
00981A,2454,聯發科,5088,7.07,2026-08-31 00:00:00
00981A,6669,緯穎,2176,5.47,2026-08-31 00:00:00
00981A,3653,健策,2397,5.08,2026-08-31 00:00:00
00981A,2327,國巨*,24987,4.82,2026-08-31 00:00:00
00981A,2308,台達電,7240,4.72,2026-08-31 00:00:00
00981A,2345,智邦,6464,4.66,2026-08-31 00:00:00
00981A,6223,旺矽,2476,4.5,2026-08-31 00:00:00
00981A,8046,南電,9474,4.13,2026-08-31 00:00:00
00981A,2303,聯電,89118,4.07,2026-08-31 00:00:00
00981A,3711,日月光投控,18679,3.86,2026-08-31 00:00:00
00981A,3665,貿聯-KY,4592,3.53,2026-08-31 00:00:00
00981A,6274,台燿,5398,2.74,2026-08-31 00:00:00
00981A,6805,富世達,1731,1.41,2026-08-31 00:00:00
00981A,5274,信驊,208,1.18,2026-08-31 00:00:00
00981A,2449,京元電子,12818,1.17,2026-08-31 00:00:00
00981A,8210,勤誠,2427,0.83,2026-08-31 00:00:00
00981A,3443,創意,325,0.7,2026-08-31 00:00:00
00981A,4979,華星光,3173,0.68,2026-08-31 00:00:00
00981A,2368,金像電,1457,0.6,2026-08-31 00:00:00
00981A,8996,高力,1300,0.54,2026-08-31 00:00:00
00981A,3264,欣銓,5916,0.48,2026-08-31 00:00:00
00981A,6510,精測,477,0.48,2026-08-31 00:00:00
00981A,4958,臻鼎-KY,1644,0.29,2026-08-31 00:00:00
00981A,6278,台表科,3248,0.23,2026-08-31 00:00:00
00981A,6271,同欣電,2222,0.17,2026-08-31 00:00:00
00981A,3376,新日興,1740,0.13,2026-08-31 00:00:00
00981A,6191,精成科,3988,0.12,2026-08-31 00:00:00
00981A,2313,華通,501,0.04,2026-08-31 00:00:00
00981A,2002,中鋼,5163,0.03,2026-08-31 00:00:00
00981A,8358,金居,1,0,2026-08-31 00:00:00
00981A,3661,世芯-KY,1,0,2026-08-31 00:00:00
00981A,2439,美律,1,0,2026-08-31 00:00:00
00981A,1590,亞德客-KY,1,0,2026-08-31 00:00:00
00981A,3008,大立光,1,0,2026-08-31 00:00:00
00981A,2382,廣達,1,0,2026-08-31 00:00:00
00981A,6187,萬潤,8,0,2026-08-31 00:00:00
00981A,2408,南亞科,1,0,2026-08-31 00:00:00
00981A,2637,慧洋-KY,1,0,2026-08-31 00:00:00
00981A,6515,穎崴,1,0,2026-08-31 00:00:00
00981A,2360,致茂,1,0,2026-08-31 00:00:00
00981A,6488,環球晶,1,0,2026-08-31 00:00:00
00981A,4966,譜瑞-KY,1,0,2026-08-31 00:00:00
00981A,8150,南茂,1,0,2026-08-31 00:00:00
00981A,2317,鴻海,1,0,2026-08-31 00:00:00
00981A,5347,世界,1,0,2026-08-31 00:00:00
00981A,2481,強茂,5,0,2026-08-31 00:00:00
