資料日期,ETF,更新時間,持股JSON
2026-05-15 00:00:00,00403A,2026-05-18 16:29:24,"[[""2330"",""台積電"",12440,18.02],[""2303"",""聯電"",59660,4.2],[""3017"",""奇鋐"",2660,4.18],[""3037"",""欣興"",7250,3.81],[""2383"",""台光電"",1244,3.67],[""3711"",""日月光投控"",8920,3.12],[""2368"",""金像電"",3770,3.11],[""2308"",""台達電"",1823,2.42],[""2345"",""智邦"",1500,2.4],[""6669"",""緯穎"",610,2],[""8299"",""群聯"",1128,1.91],[""2344"",""華邦電"",22000,1.82],[""6223"",""旺矽"",460,1.73],[""5274"",""信驊"",150,1.65],[""2327"",""國巨*"",5580,1.63],[""3665"",""貿聯-KY"",1160,1.55],[""2337"",""旺宏"",13832,1.44],[""8046"",""南電"",2590,1.3],[""5347"",""世界"",9901,1.12],[""4958"",""臻鼎-KY"",3950,1.01],[""3653"",""健策"",430,0.95],[""3533"",""嘉澤"",605,0.9],[""2882"",""國泰金"",16001,0.8],[""2360"",""致茂"",529,0.76],[""6515"",""穎崴"",120,0.75],[""7769"",""鴻勁"",166,0.73],[""8996"",""高力"",928,0.62],[""3529"",""力旺"",255,0.62],[""3044"",""健鼎"",1894,0.58],[""8210"",""勤誠"",553,0.5],[""3583"",""辛耘"",820,0.47],[""6274"",""台燿"",551,0.46],[""2313"",""華通"",3031,0.46],[""3443"",""創意"",145,0.45],[""3081"",""聯亞"",255,0.43],[""8358"",""金居"",1700,0.42],[""2891"",""中信金"",11801,0.41],[""3036"",""文曄"",2365,0.41],[""6147"",""頎邦"",3100,0.41],[""4966"",""譜瑞-KY"",784,0.4],[""3211"",""順達"",1601,0.37],[""1560"",""中砂"",851,0.35],[""2454"",""聯發科"",155,0.32],[""6442"",""光聖"",280,0.31],[""4979"",""華星光"",860,0.29],[""3105"",""穩懋"",957,0.28],[""6805"",""富世達"",215,0.24],[""2481"",""強茂"",2510,0.19],[""2049"",""上銀"",601,0.15],[""2455"",""全新"",145,0.03]]"
2026-05-18 00:00:00,00403A,2026-05-18 17:14:36,"[[""2330"",""台積電"",13770,18.06],[""2303"",""聯電"",67400,4.38],[""3017"",""奇鋐"",2720,3.84],[""2383"",""台光電"",1350,3.59],[""3037"",""欣興"",7400,3.54],[""3711"",""日月光投控"",9940,2.97],[""2368"",""金像電"",3860,2.83],[""2345"",""智邦"",1720,2.51],[""2308"",""台達電"",1823,2.16],[""2327"",""國巨*"",7100,2.08],[""6223"",""旺矽"",560,2.01],[""6669"",""緯穎"",650,1.94],[""2344"",""華邦電"",24600,1.88],[""8299"",""群聯"",1163,1.86],[""3665"",""貿聯-KY"",1285,1.52],[""5274"",""信驊"",155,1.47],[""2337"",""旺宏"",14232,1.33],[""8046"",""南電"",2655,1.23],[""3533"",""嘉澤"",710,0.97],[""4958"",""臻鼎-KY"",4045,0.92],[""5347"",""世界"",9911,0.92],[""6515"",""穎崴"",140,0.84],[""3653"",""健策"",430,0.82],[""2882"",""國泰金"",16001,0.72],[""2360"",""致茂"",529,0.68],[""7769"",""鴻勁"",166,0.65],[""8996"",""高力"",970,0.59],[""3044"",""健鼎"",1894,0.52],[""3529"",""力旺"",255,0.52],[""6147"",""頎邦"",4000,0.48],[""3583"",""辛耘"",900,0.47],[""2313"",""華通"",3031,0.46],[""8210"",""勤誠"",553,0.45],[""8358"",""金居"",1700,0.43],[""6274"",""台燿"",551,0.41],[""3443"",""創意"",145,0.4],[""3081"",""聯亞"",255,0.4],[""6442"",""光聖"",360,0.38],[""2891"",""中信金"",11801,0.38],[""3036"",""文曄"",2365,0.36],[""4966"",""譜瑞-KY"",784,0.35],[""3211"",""順達"",1601,0.34],[""1560"",""中砂"",851,0.32],[""2454"",""聯發科"",155,0.31],[""4979"",""華星光"",860,0.28],[""3105"",""穩懋"",957,0.25],[""6805"",""富世達"",215,0.22],[""2481"",""強茂"",2510,0.19],[""2049"",""上銀"",601,0.13],[""2455"",""全新"",145,0.03]]"
2026-05-19 00:00:00,00403A,2026-05-19 16:43:31,"[[""2330"",""台積電"",13770,17.62],[""2303"",""聯電"",73400,4.81],[""3017"",""奇鋐"",2920,4.05],[""3037"",""欣興"",8030,3.81],[""2383"",""台光電"",1350,3.55],[""2368"",""金像電"",4160,3.1],[""3711"",""日月光投控"",9940,2.72],[""2345"",""智邦"",1790,2.48],[""2327"",""國巨*"",7400,2.13],[""2308"",""台達電"",1823,2.03],[""6223"",""旺矽"",560,1.86],[""6669"",""緯穎"",650,1.84],[""2344"",""華邦電"",24600,1.68],[""8299"",""群聯"",1163,1.66],[""3665"",""貿聯-KY"",1285,1.48],[""5274"",""信驊"",155,1.43],[""8046"",""南電"",2655,1.23],[""2337"",""旺宏"",14232,1.19],[""4958"",""臻鼎-KY"",4500,1.07],[""3533"",""嘉澤"",780,1.05],[""5347"",""世界"",9911,0.91],[""3653"",""健策"",430,0.77],[""6515"",""穎崴"",140,0.77],[""2882"",""國泰金"",16001,0.72],[""2313"",""華通"",4300,0.64],[""7769"",""鴻勁"",166,0.64],[""2360"",""致茂"",529,0.63],[""8996"",""高力"",970,0.59],[""6147"",""頎邦"",4700,0.55],[""3044"",""健鼎"",1894,0.51],[""3529"",""力旺"",255,0.49],[""6442"",""光聖"",450,0.45],[""3583"",""辛耘"",900,0.44],[""8210"",""勤誠"",553,0.43],[""8358"",""金居"",1700,0.42],[""6274"",""台燿"",551,0.39],[""3443"",""創意"",145,0.38],[""2891"",""中信金"",11801,0.38],[""3081"",""聯亞"",255,0.37],[""3036"",""文曄"",2365,0.36],[""6805"",""富世達"",320,0.33],[""3211"",""順達"",1601,0.33],[""4966"",""譜瑞-KY"",784,0.33],[""1560"",""中砂"",851,0.32],[""2454"",""聯發科"",155,0.28],[""4979"",""華星光"",860,0.26],[""3105"",""穩懋"",957,0.25],[""2049"",""上銀"",1010,0.22],[""2481"",""強茂"",2510,0.2],[""2455"",""全新"",145,0.03]]"
2026-05-20 00:00:00,00403A,2026-05-20 16:45:37,"[[""2330"",""台積電"",14000,17.44],[""2303"",""聯電"",73400,4.52],[""3017"",""奇鋐"",2920,3.89],[""3037"",""欣興"",8300,3.89],[""2383"",""台光電"",1350,3.38],[""2368"",""金像電"",4160,2.93],[""3711"",""日月光投控"",9940,2.7],[""2345"",""智邦"",1880,2.52],[""2327"",""國巨*"",7750,2.3],[""2308"",""台達電"",1823,1.99],[""6669"",""緯穎"",680,1.9],[""6223"",""旺矽"",560,1.81],[""2344"",""華邦電"",24600,1.62],[""8299"",""群聯"",1163,1.5],[""3665"",""貿聯-KY"",1285,1.44],[""5274"",""信驊"",155,1.37],[""8046"",""南電"",2655,1.25],[""4958"",""臻鼎-KY"",4850,1.21],[""2337"",""旺宏"",14232,1.14],[""3533"",""嘉澤"",850,1.14],[""5347"",""世界"",9911,0.9],[""3653"",""健策"",430,0.74],[""2360"",""致茂"",630,0.74],[""6515"",""穎崴"",140,0.72],[""2882"",""國泰金"",16001,0.71],[""7769"",""鴻勁"",166,0.66],[""2313"",""華通"",4300,0.63],[""6147"",""頎邦"",4700,0.58],[""8996"",""高力"",1000,0.57],[""3044"",""健鼎"",2100,0.55],[""6442"",""光聖"",520,0.52],[""3529"",""力旺"",270,0.52],[""3443"",""創意"",190,0.5],[""3081"",""聯亞"",320,0.47],[""8358"",""金居"",1700,0.45],[""3583"",""辛耘"",900,0.42],[""8210"",""勤誠"",553,0.41],[""6805"",""富世達"",400,0.39],[""2891"",""中信金"",11801,0.39],[""3036"",""文曄"",2365,0.38],[""6274"",""台燿"",551,0.38],[""4966"",""譜瑞-KY"",784,0.34],[""3211"",""順達"",1601,0.32],[""2454"",""聯發科"",155,0.29],[""4979"",""華星光"",860,0.28],[""3105"",""穩懋"",957,0.24],[""2049"",""上銀"",1010,0.21],[""2481"",""強茂"",2510,0.19],[""1560"",""中砂"",78,0.03],[""2455"",""全新"",145,0.03]]"
2026-05-21 00:00:00,00403A,2026-05-21 18:43:02,"[[""2330"",""台積電"",14000,17.09],[""2303"",""聯電"",75500,4.79],[""3017"",""奇鋐"",3140,4.29],[""3037"",""欣興"",8520,4.22],[""2383"",""台光電"",1350,3.46],[""2368"",""金像電"",4390,3.09],[""3711"",""日月光投控"",9940,2.77],[""2345"",""智邦"",1880,2.55],[""2327"",""國巨*"",7801,2.44],[""6669"",""緯穎"",725,2.12],[""2308"",""台達電"",1823,2.03],[""6223"",""旺矽"",560,1.73],[""2344"",""華邦電"",27300,1.7],[""3665"",""貿聯-KY"",1285,1.52],[""8299"",""群聯"",1163,1.49],[""8046"",""南電"",3100,1.48],[""4958"",""臻鼎-KY"",5400,1.39],[""5274"",""信驊"",155,1.39],[""3533"",""嘉澤"",915,1.26],[""2337"",""旺宏"",14232,1.1],[""5347"",""世界"",9911,0.89],[""6515"",""穎崴"",165,0.86],[""3653"",""健策"",430,0.78],[""2360"",""致茂"",630,0.78],[""7769"",""鴻勁"",166,0.7],[""6442"",""光聖"",680,0.66],[""3443"",""創意"",223,0.62],[""3044"",""健鼎"",2300,0.61],[""8996"",""高力"",1040,0.61],[""6147"",""頎邦"",5000,0.61],[""2313"",""華通"",4300,0.61],[""3529"",""力旺"",305,0.59],[""6805"",""富世達"",500,0.5],[""8210"",""勤誠"",680,0.5],[""8358"",""金居"",1700,0.46],[""3081"",""聯亞"",320,0.45],[""2454"",""聯發科"",222,0.43],[""3583"",""辛耘"",900,0.42],[""6274"",""台燿"",551,0.4],[""3036"",""文曄"",2365,0.38],[""4966"",""譜瑞-KY"",784,0.34],[""3211"",""順達"",1601,0.31],[""2882"",""國泰金"",6985,0.3],[""4979"",""華星光"",860,0.28],[""3105"",""穩懋"",957,0.25],[""2049"",""上銀"",1010,0.21],[""2481"",""強茂"",2510,0.18],[""2455"",""全新"",300,0.06],[""1560"",""中砂"",78,0.03],[""6196"",""帆宣"",110,0.03]]"
2026-05-22 00:00:00,00403A,2026-05-22 16:46:06,"[[""2330"",""台積電"",14000,16.83],[""3037"",""欣興"",8960,4.63],[""2303"",""聯電"",75500,4.59],[""3017"",""奇鋐"",3250,4.41],[""2383"",""台光電"",1350,3.6],[""3711"",""日月光投控"",11165,3.34],[""2368"",""金像電"",4530,3.21],[""2327"",""國巨*"",8559,2.87],[""2345"",""智邦"",1880,2.48],[""6669"",""緯穎"",760,2.24],[""2308"",""台達電"",1823,2.04],[""2344"",""華邦電"",27300,1.82],[""6223"",""旺矽"",560,1.8],[""8046"",""南電"",3550,1.77],[""3665"",""貿聯-KY"",1285,1.52],[""8299"",""群聯"",1163,1.51],[""4958"",""臻鼎-KY"",5492,1.51],[""5274"",""信驊"",155,1.47],[""3533"",""嘉澤"",1010,1.38],[""2454"",""聯發科"",632,1.3],[""2337"",""旺宏"",14232,1.13],[""2360"",""致茂"",720,0.87],[""5347"",""世界"",9911,0.86],[""3653"",""健策"",430,0.84],[""3443"",""創意"",285,0.78],[""6515"",""穎崴"",165,0.77],[""6442"",""光聖"",760,0.76],[""3529"",""力旺"",350,0.68],[""7769"",""鴻勁"",166,0.68],[""8996"",""高力"",1070,0.67],[""3081"",""聯亞"",460,0.66],[""2313"",""華通"",4300,0.64],[""3044"",""健鼎"",2300,0.6],[""6147"",""頎邦"",5000,0.57],[""8210"",""勤誠"",680,0.49],[""6805"",""富世達"",500,0.48],[""8358"",""金居"",1700,0.47],[""6274"",""台燿"",551,0.43],[""3583"",""辛耘"",900,0.42],[""3036"",""文曄"",2365,0.36],[""3211"",""順達"",1601,0.33],[""4966"",""譜瑞-KY"",784,0.33],[""4979"",""華星光"",860,0.29],[""3105"",""穩懋"",957,0.27],[""2049"",""上銀"",1010,0.2],[""2481"",""強茂"",2510,0.18],[""6196"",""帆宣"",410,0.1],[""2455"",""全新"",300,0.07],[""1560"",""中砂"",78,0.03],[""2882"",""國泰金"",1,0]]"
2026-05-25 00:00:00,00403A,2026-05-25 16:56:50,"[[""2330"",""台積電"",14000,16.71],[""2303"",""聯電"",75500,4.88],[""3037"",""欣興"",8960,4.58],[""3017"",""奇鋐"",3250,4.33],[""3711"",""日月光投控"",12101,3.86],[""2383"",""台光電"",1350,3.84],[""2368"",""金像電"",4650,3.42],[""2327"",""國巨*"",8760,3.13],[""2345"",""智邦"",1950,2.56],[""6669"",""緯穎"",760,2.2],[""2308"",""台達電"",1823,2.16],[""2344"",""華邦電"",29300,1.95],[""6223"",""旺矽"",600,1.92],[""8046"",""南電"",3550,1.62],[""3665"",""貿聯-KY"",1285,1.58],[""4958"",""臻鼎-KY"",5492,1.5],[""8299"",""群聯"",1163,1.49],[""3533"",""嘉澤"",1100,1.47],[""5274"",""信驊"",155,1.42],[""2454"",""聯發科"",632,1.39],[""2337"",""旺宏"",14232,1.12],[""2360"",""致茂"",795,1.01],[""3443"",""創意"",330,0.91],[""3081"",""聯亞"",590,0.89],[""6442"",""光聖"",830,0.88],[""5347"",""世界"",9911,0.86],[""3653"",""健策"",430,0.84],[""3529"",""力旺"",390,0.75],[""6515"",""穎崴"",165,0.75],[""8996"",""高力"",1130,0.66],[""2313"",""華通"",4300,0.66],[""7769"",""鴻勁"",166,0.66],[""6147"",""頎邦"",5000,0.61],[""3044"",""健鼎"",2300,0.59],[""8210"",""勤誠"",680,0.5],[""8358"",""金居"",1700,0.48],[""6274"",""台燿"",551,0.46],[""6805"",""富世達"",500,0.45],[""3583"",""辛耘"",900,0.43],[""3036"",""文曄"",2365,0.37],[""4966"",""譜瑞-KY"",784,0.33],[""4979"",""華星光"",860,0.29],[""3105"",""穩懋"",957,0.27],[""2049"",""上銀"",1010,0.21],[""2481"",""強茂"",2510,0.17],[""6196"",""帆宣"",410,0.1],[""2455"",""全新"",450,0.1],[""1560"",""中砂"",78,0.03],[""3211"",""順達"",1,0],[""2882"",""國泰金"",1,0]]"
2026-05-26 00:00:00,00403A,2026-05-26 17:00:52,"[[""2330"",""台積電"",14000,16.34],[""2303"",""聯電"",79700,5.35],[""3037"",""欣興"",8960,5],[""3017"",""奇鋐"",3250,4.55],[""3711"",""日月光投控"",12101,3.8],[""2383"",""台光電"",1350,3.67],[""2368"",""金像電"",4650,3.46],[""2327"",""國巨*"",8760,2.98],[""2345"",""智邦"",1950,2.63],[""2308"",""台達電"",1823,2.2],[""2344"",""華邦電"",29300,2.12],[""6669"",""緯穎"",760,2.06],[""6223"",""旺矽"",625,2.01],[""8046"",""南電"",3550,1.68],[""3533"",""嘉澤"",1160,1.57],[""4958"",""臻鼎-KY"",5492,1.52],[""3665"",""貿聯-KY"",1285,1.5],[""8299"",""群聯"",1163,1.5],[""2454"",""聯發科"",632,1.39],[""5274"",""信驊"",155,1.37],[""2337"",""旺宏"",15350,1.27],[""3081"",""聯亞"",650,1.06],[""2360"",""致茂"",795,1.02],[""3443"",""創意"",370,1.01],[""6442"",""光聖"",830,0.97],[""5347"",""世界"",9911,0.84],[""3653"",""健策"",430,0.81],[""6515"",""穎崴"",165,0.76],[""8996"",""高力"",1169,0.75],[""3529"",""力旺"",390,0.7],[""6147"",""頎邦"",5000,0.67],[""7769"",""鴻勁"",166,0.67],[""2313"",""華通"",4300,0.63],[""6274"",""台燿"",751,0.61],[""3044"",""健鼎"",2300,0.6],[""8210"",""勤誠"",680,0.5],[""8358"",""金居"",1700,0.47],[""6805"",""富世達"",500,0.46],[""3583"",""辛耘"",900,0.42],[""4966"",""譜瑞-KY"",784,0.33],[""4979"",""華星光"",860,0.3],[""3189"",""景碩"",800,0.29],[""3105"",""穩懋"",957,0.28],[""3036"",""文曄"",1500,0.23],[""2049"",""上銀"",1010,0.21],[""6196"",""帆宣"",770,0.2],[""2481"",""強茂"",2510,0.19],[""2455"",""全新"",450,0.1],[""1560"",""中砂"",78,0.03],[""3211"",""順達"",1,0]]"
2026-05-27 00:00:00,00403A,2026-05-27 16:45:55,"[[""2330"",""台積電"",14000,16.42],[""2303"",""聯電"",79700,5.83],[""3037"",""欣興"",8960,4.93],[""3017"",""奇鋐"",3250,4.47],[""3711"",""日月光投控"",12101,3.96],[""2383"",""台光電"",1350,3.65],[""2368"",""金像電"",4700,3.3],[""2327"",""國巨*"",8760,3.13],[""2345"",""智邦"",1950,2.61],[""2308"",""台達電"",2010,2.58],[""2344"",""華邦電"",30560,2.42],[""6223"",""旺矽"",655,2.13],[""2454"",""聯發科"",840,1.99],[""6669"",""緯穎"",760,1.97],[""8046"",""南電"",3550,1.64],[""3533"",""嘉澤"",1160,1.55],[""4958"",""臻鼎-KY"",5492,1.49],[""8299"",""群聯"",1163,1.47],[""5274"",""信驊"",155,1.44],[""3665"",""貿聯-KY"",1285,1.39],[""3653"",""健策"",670,1.25],[""2337"",""旺宏"",15350,1.22],[""2360"",""致茂"",840,1.12],[""3443"",""創意"",400,1.04],[""3081"",""聯亞"",680,1],[""6442"",""光聖"",830,0.86],[""5347"",""世界"",9911,0.84],[""6515"",""穎崴"",165,0.82],[""8996"",""高力"",1169,0.72],[""6147"",""頎邦"",5000,0.68],[""6274"",""台燿"",801,0.67],[""3529"",""力旺"",390,0.66],[""7769"",""鴻勁"",166,0.66],[""3044"",""健鼎"",2300,0.61],[""8358"",""金居"",1700,0.49],[""3189"",""景碩"",1380,0.49],[""8210"",""勤誠"",680,0.48],[""6488"",""環球晶"",1000,0.47],[""6805"",""富世達"",500,0.44],[""2313"",""華通"",3000,0.43],[""3583"",""辛耘"",900,0.4],[""4979"",""華星光"",1200,0.38],[""4966"",""譜瑞-KY"",784,0.35],[""3105"",""穩懋"",957,0.27],[""3036"",""文曄"",1500,0.23],[""6196"",""帆宣"",870,0.22],[""2049"",""上銀"",1010,0.21],[""2481"",""強茂"",2510,0.19],[""2455"",""全新"",450,0.1],[""1560"",""中砂"",78,0.03]]"
2026-05-28 00:00:00,00403A,2026-05-28 17:06:01,"[[""2330"",""台積電"",14200,17.06],[""2303"",""聯電"",79700,5.92],[""3037"",""欣興"",8960,4.81],[""3017"",""奇鋐"",3250,4.39],[""3711"",""日月光投控"",12101,3.97],[""2383"",""台光電"",1350,3.57],[""2327"",""國巨*"",8760,3.4],[""2368"",""金像電"",4700,3.21],[""2308"",""台達電"",2010,2.51],[""2345"",""智邦"",1950,2.49],[""2344"",""華邦電"",31560,2.38],[""2454"",""聯發科"",1000,2.31],[""6223"",""旺矽"",655,2.03],[""6669"",""緯穎"",760,1.97],[""8046"",""南電"",3550,1.58],[""3533"",""嘉澤"",1160,1.51],[""8299"",""群聯"",1163,1.49],[""5274"",""信驊"",155,1.45],[""3665"",""貿聯-KY"",1285,1.42],[""3653"",""健策"",770,1.41],[""4958"",""臻鼎-KY"",5492,1.4],[""2337"",""旺宏"",15350,1.29],[""2360"",""致茂"",840,1.13],[""3443"",""創意"",400,0.96],[""3081"",""聯亞"",680,0.94],[""7769"",""鴻勁"",219,0.88],[""5347"",""世界"",9911,0.84],[""6442"",""光聖"",830,0.82],[""6515"",""穎崴"",165,0.79],[""6274"",""台燿"",911,0.73],[""6147"",""頎邦"",5000,0.73],[""3529"",""力旺"",390,0.71],[""8996"",""高力"",1169,0.67],[""6488"",""環球晶"",1310,0.64],[""3044"",""健鼎"",2300,0.59],[""8358"",""金居"",1700,0.49],[""3189"",""景碩"",1380,0.49],[""8210"",""勤誠"",680,0.47],[""6805"",""富世達"",500,0.46],[""3583"",""辛耘"",900,0.41],[""4979"",""華星光"",1200,0.38],[""4966"",""譜瑞-KY"",784,0.35],[""3105"",""穩懋"",957,0.26],[""6196"",""帆宣"",870,0.23],[""3036"",""文曄"",1500,0.23],[""2049"",""上銀"",1010,0.21],[""2481"",""強茂"",2510,0.19],[""2455"",""全新"",450,0.09],[""1560"",""中砂"",78,0.03],[""2313"",""華通"",1,0]]"
