資料日期,多單口數,空單口數,淨未平倉口數
2026-01-02 00:00:00,23061,46215,-23154
2026-01-05 00:00:00,23747,48848,-25101
2026-01-06 00:00:00,21970,51490,-29520
2026-01-07 00:00:00,22073,51495,-29422
2026-01-08 00:00:00,22422,48469,-26047
2026-01-09 00:00:00,22795,49378,-26583
2026-01-12 00:00:00,23261,50153,-26892
2026-01-13 00:00:00,23109,53226,-30117
2026-01-14 00:00:00,23313,57270,-33957
2026-01-15 00:00:00,23635,58765,-35130
2026-01-16 00:00:00,26095,59344,-33249
2026-01-19 00:00:00,22781,56507,-33726
2026-01-20 00:00:00,21969,54644,-32675
2026-01-21 00:00:00,20490,44963,-24473
2026-01-22 00:00:00,20380,44673,-24293
2026-01-23 00:00:00,21267,43933,-22666
2026-01-26 00:00:00,17833,44360,-26527
2026-01-27 00:00:00,19233,44551,-25318
2026-01-28 00:00:00,18558,46490,-27932
2026-01-29 00:00:00,17591,50293,-32702
2026-01-30 00:00:00,17509,50179,-32670
2026-02-02 00:00:00,21490,49163,-27673
2026-02-03 00:00:00,22831,49327,-26496
2026-02-04 00:00:00,22837,48536,-25699
2026-02-05 00:00:00,23294,50037,-26743
2026-02-06 00:00:00,22080,47182,-25102
2026-02-09 00:00:00,24970,48555,-23585
2026-02-10 00:00:00,29343,54227,-24884
2026-02-11 00:00:00,29426,57091,-27665
2026-02-23 00:00:00,20336,51188,-30852
2026-02-24 00:00:00,23438,52810,-29372
2026-02-25 00:00:00,22000,57753,-35753
2026-02-26 00:00:00,21917,58085,-36168
2026-03-02 00:00:00,18093,59367,-41274
2026-03-03 00:00:00,19351,59772,-40421
2026-03-04 00:00:00,19134,60767,-41633
2026-03-05 00:00:00,15797,56931,-41134
2026-03-06 00:00:00,16819,55749,-38930
2026-03-09 00:00:00,13164,53626,-40462
2026-03-10 00:00:00,14595,51451,-36856
2026-03-11 00:00:00,14944,55902,-40958
2026-03-12 00:00:00,12194,55258,-43064
2026-03-13 00:00:00,12916,53263,-40347
2026-03-16 00:00:00,13733,52245,-38512
2026-03-17 00:00:00,16754,52912,-36158
2026-03-18 00:00:00,13055,47604,-34549
2026-03-19 00:00:00,9789,50614,-40825
2026-03-20 00:00:00,10562,46928,-36366
2026-03-23 00:00:00,8931,46648,-37717
2026-03-24 00:00:00,10873,44981,-34108
2026-03-25 00:00:00,9961,45908,-35947
2026-03-26 00:00:00,10102,47167,-37065
2026-03-27 00:00:00,8029,47948,-39919
2026-03-30 00:00:00,8986,46268,-37282
2026-03-31 00:00:00,10045,47259,-37214
2026-04-01 00:00:00,14923,46296,-31373
