資料日期,開盤,最高,最低,收盤,漲跌,成交股數,成交金額,成交筆數,外資買進,外資賣出,外資買賣超,投信買進,投信賣出,投信買賣超,自營買進,自營賣出,自營買賣超,合計買進,合計賣出,合計買賣超
2025-07-01 00:00:00,22419.74,22730.76,22401.58,22553.72,297.7,6415082209,421991169974,2419634,178301376951,130050094306,48251282645,25191809520,29884082704,-4692273184,23385649799,14391626671,8994023128,226878836270,174325803681,52553032589
2025-07-02 00:00:00,22463.55,22577.74,22396.26,22577.74,24.02,5101662453,304435099272,1886936,116979300039,110879200144,6100099895,17930756118,19247078014,-1316321896,10764415001,9621219707,1143195294,145674471158,139747497865,5926973293
2025-07-03 00:00:00,22707.41,22816.2,22700.86,22712.97,135.23,6029111627,383825214993,2297217,146567724776,116944245637,29623479139,18353837191,23562200438,-5208363247,16988031632,11642877383,5345154249,181909593599,152149323458,29760270141
2025-07-04 00:00:00,22756.55,22842.75,22500.97,22547.5,-165.47,5632671624,331133814557,2299611,109465313930,108910537067,554776863,17466430317,22084800900,-4618370583,12572559476,12371049580,201509896,139504303723,143366387547,-3862083824
2025-07-07 00:00:00,22550.14,22550.5,22294.11,22428.72,-118.78,4962856527,269071472316,1893701,93454837612,99033853476,-5579015864,17185018422,19571760235,-2386741813,14858256906,12634021012,2224235894,125498112940,131239634723,-5741521783
2025-07-08 00:00:00,22375.65,22375.65,22190.46,22362.27,-66.45,5407011400,282705631857,1893276,106598768206,105959975764,638792442,9767482261,9901184637,-133702376,15625350949,11146139361,4479211588,131991601416,127007299762,4984301654
2025-07-09 00:00:00,22253.17,22527.01,22211.1,22527.01,164.74,5646619850,322528415208,1950287,119703311184,111453987525,8249323659,15293785081,15591016867,-297231786,15013762282,12211419877,2802342405,150010858547,139256424269,10754434278
2025-07-10 00:00:00,22566.51,22699.29,22513.35,22693.25,166.24,5553213493,327393549950,2052227,119554009453,109441824991,10112184462,10821237050,10748462845,72774205,14943793902,14824049776,119744126,145319040405,135014337612,10304702793
2025-07-11 00:00:00,22602.81,22770.01,22601.95,22751.03,57.78,7092180625,337982404672,2082425,140825809935,123770476610,17055333325,11501825539,13704139431,-2202313892,14069572756,11269411608,2800161148,166397208230,148744027649,17653180581
2025-07-14 00:00:00,22679.18,22735.23,22525.66,22614.97,-136.06,4853105700,281512623505,1961983,95554395495,98300157755,-2745762260,8867250995,9857610153,-990359158,11868403127,19603695223,-7735292096,116290049617,127761463131,-11471413514
2025-07-15 00:00:00,22618.43,22888.23,22588.26,22835.94,220.97,5429807871,319870598000,2057874,114251108062,95698773715,18552334347,5519217793,5969731557,-450513764,18085842045,14714636533,3371205512,137856167900,116383141805,21473026095
2025-07-16 00:00:00,22967.51,23106.43,22923.12,23042.9,206.96,6375009305,391295025263,2411559,136924940946,123020485319,13904455627,15964117594,13432481053,2531636541,24254142243,16393579588,7860562655,177143200783,152846545960,24296654823
2025-07-17 00:00:00,23042.97,23159.54,22923.37,23113.28,70.38,5826064387,343559779087,2169033,122266113585,121774655234,491458351,11939899831,12814270195,-874370364,21354368775,11043216945,10311151830,155560382191,145632142374,9928239817
2025-07-18 00:00:00,23345.72,23468.21,23276.02,23383.13,269.85,6130525974,381297826285,2310585,141274313480,110266763229,31007550251,12230521683,8854528194,3375993489,21211881493,13694993135,7516888358,174716716656,132816284558,41900432098
2025-07-21 00:00:00,23314.29,23403.83,23243.79,23340.56,-42.57,5279612934,316345580296,2190361,106091109741,101961464446,4129645295,9722364591,12609653174,-2887288583,13860138753,11773914864,2086223889,129673613085,126345032484,3328580601
2025-07-22 00:00:00,23301.66,23486.08,22985.9,22987.92,-352.64,6889507061,449009636028,3001519,145020285184,134995798730,10024486454,13318593547,15839616011,-2521022464,21394348572,17098057447,4296291125,179733227303,167933472188,11799755115
2025-07-23 00:00:00,23063.57,23318.67,23063.57,23318.67,330.75,6238239859,360908872117,2365878,123378151446,114946462596,8431688850,7468924368,8661084852,-1192160484,23790175059,13073939944,10716235115,154637250873,136681487392,17955763481
2025-07-24 00:00:00,23373.67,23455.09,23295.31,23373.73,55.06,6322628546,348331144582,2411078,122222803205,112069957216,10152845989,6478978806,7234440116,-755461310,14429547345,11116909935,3312637410,143131329356,130421307267,12710022089
2025-07-25 00:00:00,23454.59,23485.56,23308.45,23364.38,-9.35,5964609783,302559239716,2167929,102529626873,95168421631,7361205242,8758780778,6727750257,2031030521,13724407355,12637167191,1087240164,125012815006,114533339079,10479475927
2025-07-28 00:00:00,23477.1,23564.44,23350.73,23412.98,48.6,5994460798,323398574763,2298780,106988875510,102313484880,4675390630,10263654248,6814870002,3448784246,16046843197,10722190498,5324652699,133299372955,119850545380,13448827575
