資料日期,融資金額_仟元
2025-01-02 00:00:00,329543807
2025-01-03 00:00:00,327869937
2025-01-06 00:00:00,329747315
2025-01-07 00:00:00,329173490
2025-01-08 00:00:00,330129522
2025-01-09 00:00:00,325643838
2025-01-10 00:00:00,323066309
2025-01-13 00:00:00,315535016
2025-01-14 00:00:00,314958672
2025-01-15 00:00:00,314732916
2025-01-16 00:00:00,312466298
2025-01-17 00:00:00,309772573
2025-01-20 00:00:00,309018640
2025-01-21 00:00:00,307774487
2025-01-22 00:00:00,305287551
2025-02-03 00:00:00,305187136
2025-02-04 00:00:00,305710074
2025-02-05 00:00:00,305601281
2025-02-06 00:00:00,305934753
2025-02-07 00:00:00,306034473
2025-02-10 00:00:00,308721920
2025-02-11 00:00:00,309154193
2025-02-12 00:00:00,311523857
2025-02-13 00:00:00,313023678
2025-02-14 00:00:00,313574044
2025-02-17 00:00:00,314922889
2025-02-18 00:00:00,316399005
2025-02-19 00:00:00,319292844
2025-02-20 00:00:00,321311666
2025-02-21 00:00:00,321783865
2025-02-24 00:00:00,323434570
2025-02-25 00:00:00,324483022
2025-02-26 00:00:00,325413294
2025-02-27 00:00:00,324284623
2025-03-03 00:00:00,324050396
2025-03-04 00:00:00,326111501
2025-03-05 00:00:00,328033352
2025-03-06 00:00:00,328609499
2025-03-07 00:00:00,327851463
2025-03-10 00:00:00,327246302
2025-03-11 00:00:00,325806691
2025-03-12 00:00:00,327694493
2025-03-14 00:00:00,325694534
2025-03-17 00:00:00,325360733
2025-03-18 00:00:00,324691148
2025-03-19 00:00:00,324290100
2025-03-20 00:00:00,324238426
2025-03-21 00:00:00,324119474
2025-03-24 00:00:00,323759132
2025-03-25 00:00:00,322275801
2025-03-26 00:00:00,321865442
2025-03-27 00:00:00,321121581
2025-03-28 00:00:00,316022604
2025-03-31 00:00:00,300314124
2025-04-01 00:00:00,298958157
2025-04-02 00:00:00,298816651
2025-04-07 00:00:00,285252992
2025-04-08 00:00:00,256789020
2025-04-09 00:00:00,223785029
2025-04-10 00:00:00,222431725
2025-04-11 00:00:00,213955822
2025-04-14 00:00:00,212803927
2025-04-15 00:00:00,213994817
2025-04-16 00:00:00,214549780
2025-04-17 00:00:00,216020028
2025-04-18 00:00:00,215979291
2025-04-21 00:00:00,212486669
2025-04-22 00:00:00,210932049
2025-04-23 00:00:00,210393071
2025-04-24 00:00:00,210093888
2025-04-25 00:00:00,208844606
2025-04-28 00:00:00,208154193
2025-04-29 00:00:00,209008974
2025-04-30 00:00:00,209669672
2025-05-02 00:00:00,209351182
2025-05-05 00:00:00,208867379
2025-05-06 00:00:00,209482846
2025-05-07 00:00:00,209439756
2025-05-08 00:00:00,209567416
2025-05-09 00:00:00,209817781
2025-05-12 00:00:00,210111994
2025-05-13 00:00:00,210508471
2025-05-14 00:00:00,212011750
2025-05-15 00:00:00,213312394
2025-05-16 00:00:00,216410527
2025-05-19 00:00:00,216535926
2025-05-20 00:00:00,217435458
2025-05-21 00:00:00,217856446
2025-05-22 00:00:00,220045068
2025-05-23 00:00:00,219546355
2025-05-26 00:00:00,220657750
2025-05-27 00:00:00,220599614
2025-05-28 00:00:00,220246367
2025-05-29 00:00:00,221181413
2025-06-02 00:00:00,221528741
2025-06-03 00:00:00,221857705
2025-06-04 00:00:00,222950998
2025-06-05 00:00:00,222431847
2025-06-06 00:00:00,222353111
2025-06-09 00:00:00,222414142
2025-06-10 00:00:00,220627683
2025-06-11 00:00:00,222185864
2025-06-12 00:00:00,223680596
2025-06-13 00:00:00,223309479
2025-06-16 00:00:00,224418003
2025-06-17 00:00:00,224287636
2025-06-18 00:00:00,224753502
2025-06-19 00:00:00,225036136
2025-06-20 00:00:00,224123342
2025-06-23 00:00:00,224437558
2025-06-24 00:00:00,224318492
2025-06-25 00:00:00,224189539
2025-06-26 00:00:00,224719022
2025-06-27 00:00:00,225228402
2025-06-30 00:00:00,226292649
2025-07-01 00:00:00,225161417
2025-07-02 00:00:00,225315996
2025-07-03 00:00:00,225841159
2025-07-04 00:00:00,223751212
2025-07-07 00:00:00,221554232
2025-07-08 00:00:00,222090108
2025-07-09 00:00:00,222618366
2025-07-10 00:00:00,224196382
2025-07-11 00:00:00,224058848
2025-07-14 00:00:00,224437905
2025-07-15 00:00:00,226722755
2025-07-16 00:00:00,226872563
2025-07-17 00:00:00,227981188
2025-07-18 00:00:00,228111365
2025-07-21 00:00:00,229477188
2025-07-22 00:00:00,224554075
2025-07-23 00:00:00,227983846
2025-07-24 00:00:00,229227323
2025-07-25 00:00:00,229580905
2025-07-28 00:00:00,230048512
2025-07-29 00:00:00,229520930
2025-07-30 00:00:00,229782020
2025-07-31 00:00:00,231315484
2025-08-01 00:00:00,232588286
2025-08-04 00:00:00,233410481
2025-08-05 00:00:00,235386924
2025-08-06 00:00:00,236036183
2025-08-07 00:00:00,237514928
2025-08-08 00:00:00,238613969
2025-08-11 00:00:00,242509549
2025-08-12 00:00:00,243266443
2025-08-13 00:00:00,242383930
2025-08-14 00:00:00,245037336
2025-08-15 00:00:00,248323607
2025-08-18 00:00:00,249893217
