清單,排名,股票代號,英文名稱,原文名稱,中文名稱,信心,備註
日股成交值排行,1,285A,Kioxia Holdings Corporation,キオクシアホールディングス株式会社,鎧俠控股,高,鉅亨網、經濟日報均稱「鎧俠」；台媒亦常寫 Kioxia（鎧俠）
日股成交值排行,2,6857,Advantest Corp.,株式会社アドバンテスト,愛德萬測試,高,鉅亨網個股名稱即「愛德萬測試(株)」；台灣子公司為愛德萬測試股份有限公司
日股成交值排行,3,5803,Fujikura Ltd,株式会社フジクラ,藤倉,高,鉅亨網作「藤倉株式會社」；商號現為片假名フジクラ，舊漢字為藤倉電線
日股成交值排行,4,278A,Terra Drone Corporation,Terra Drone株式会社（テラドローン）,Terra Drone,中,經濟日報、DIGITIMES 皆直接寫英文原名 Terra Drone，無通行中文譯名
日股成交值排行,5,6976,"Taiyo Yuden Co., Ltd.",太陽誘電株式会社,太陽誘電,高,工商時報、科技新報均用「太陽誘電」
日股成交值排行,6,9984,SoftBank Group Corp.,ソフトバンクグループ株式会社,軟銀集團,高,鉅亨網亦作「軟體銀行集團」；台媒最常用「軟銀」
日股成交值排行,7,6525,Kokusai Electric Corporation,株式会社Kokusai Electric,Kokusai Electric,中,鉅亨網、經濟日報、聯合報均直接寫 KOKUSAI／Kokusai Electric；舊名國際電氣（日立國際電氣半導體部門）
日股成交值排行,8,8035,Tokyo Electron Ltd.,東京エレクトロン株式会社,東京威力科創,高,鉅亨網個股名稱即「東京威力科創」，台灣子公司同名；部分媒體寫東京電子
日股成交值排行,9,6981,"Murata Manufacturing Co., Ltd.",株式会社村田製作所,村田製作所,高,台媒常簡稱「村田」
日股成交值排行,10,8306,"Mitsubishi UFJ Financial Group, Inc.",株式会社三菱UFJフィナンシャル・グループ,三菱UFJ金融集團,高,
日股成交值排行,11,4062,"IBIDEN CO., LTD.",イビデン株式会社,揖斐電,高,工商時報、鉅亨網均用「揖斐電（Ibiden）」
日股成交值排行,12,9983,"FAST RETAILING CO., LTD.",株式会社ファーストリテイリング,迅銷,高,公司官方繁中名為迅銷集團；台媒常寫「優衣庫（UNIQLO）母公司迅銷」
日股成交值排行,13,6098,"Recruit Holdings Co., Ltd.",株式会社リクルートホールディングス,瑞可利控股,中,台媒常寫 Recruit（瑞可利）；英文原名出現頻率亦高
日股成交值排行,14,7203,Toyota Motor Corp.,トヨタ自動車株式会社,豐田汽車,高,
日股成交值排行,15,8411,"Mizuho Financial Group, Inc.",株式会社みずほフィナンシャルグループ,瑞穗金融集團,高,日文商號為平假名みずほ，漢字原為瑞穂
日股成交值排行,16,6146,Disco Corporation,株式会社ディスコ,迪思科,高,鉅亨網用「迪思科」，台灣子公司為迪思科高科技；科技新報等亦直接寫 DISCO
日股成交值排行,17,6758,Sony Group Corporation,ソニーグループ株式会社,索尼集團,高,台媒多直接寫 Sony；台灣舊譯「新力」已於2009年正名為索尼
日股成交值排行,18,8316,"Sumitomo Mitsui Financial Group, Inc.",株式会社三井住友フィナンシャルグループ,三井住友金融集團,高,
日股成交值排行,19,5801,"Furukawa Electric Co., Ltd.",古河電気工業株式会社,古河電工,高,全名古河電氣工業
日股成交值排行,20,7011,"Mitsubishi Heavy Industries, Ltd.",三菱重工業株式会社,三菱重工,高,
日股成交值排行,21,6920,Lasertec Corp.,レーザーテック株式会社,Lasertec,高,鉅亨網、工商時報、MoneyDJ 皆直接寫 Lasertec，無通行中文譯名
日股成交值排行,22,5411,"JFE Holdings, Inc.",JFEホールディングス株式会社,JFE控股,高,
日股成交值排行,23,7974,"Nintendo Co., Ltd.",任天堂株式会社,任天堂,高,
日股成交值排行,24,5016,JX Advanced Metals Corporation,JX金属株式会社,JX金屬,中,日文商號仍為JX金属，2025年英文名改為JX Advanced Metals；台媒多寫JX金屬或JX Advanced Metals
日股成交值排行,25,6501,"Hitachi, Ltd.",株式会社日立製作所,日立製作所,高,台媒常簡稱「日立」
日股成交值排行,26,9432,NTT Inc,NTT株式会社（原：日本電信電話株式会社）,NTT,高,2025年7月正式商號由日本電信電話改為NTT；台媒寫NTT，或加註日本電信電話
日股成交值排行,27,8766,"Tokio Marine Holdings, Inc.",東京海上ホールディングス株式会社,東京海上控股,高,
日股成交值排行,28,9024,"Seibu Holdings, Inc.",株式会社西武ホールディングス,西武控股,高,
日股成交值排行,29,6861,Keyence Corporation,株式会社キーエンス,基恩斯,中,台灣子公司為台灣基恩斯；鉅亨網作KEYENCE株式會社，台媒亦常直接寫KEYENCE；中國譯基恩士
日股成交值排行,30,3103,Unitika Ltd.,ユニチカ株式会社,尤尼吉可,中,尤尼吉可為公司官方中文名；台灣財經媒體少見，多直接寫 Unitika
日股成交值排行,31,5802,"Sumitomo Electric Industries, Ltd.",住友電気工業株式会社,住友電工,高,全名住友電氣工業
日股成交值排行,32,7741,HOYA CORPORATION,HOYA株式会社,HOYA,高,台灣財經媒體直接寫英文原名 HOYA；眼鏡鏡片業界稱「豪雅」
日股成交值排行,33,6178,"JAPAN POST HOLDINGS Co., Ltd.",日本郵政株式会社,日本郵政,高,
日股成交值排行,34,6367,"DAIKIN INDUSTRIES, LTD.",ダイキン工業株式会社,大金工業,高,台媒常簡稱「大金」
日股成交值排行,35,8058,Mitsubishi Corporation,三菱商事株式会社,三菱商事,高,
日股成交值排行,36,8002,Marubeni Corporation,丸紅株式会社,丸紅,高,
日股成交值排行,37,6752,Panasonic Holdings Corporation,パナソニックホールディングス株式会社,Panasonic控股,中,台媒多直接寫 Panasonic；舊稱松下電器，2008年正名為Panasonic，中國稱松下控股
日股成交值排行,38,4502,Takeda Pharmaceutical Co. Ltd.,武田薬品工業株式会社,武田藥品工業,高,台媒常簡稱「武田藥品」
日股成交值排行,39,8031,"Mitsui & Co.,Ltd",三井物産株式会社,三井物產,高,
日股成交值排行,40,4503,Astellas Pharma Inc.,アステラス製薬株式会社,安斯泰來製藥,高,台灣子公司為台灣安斯泰來製藥
日股成交值排行,41,5706,"Mitsui Kinzoku Co., Ltd.",三井金属鉱業株式会社,三井金屬礦業,高,鉅亨網個股名稱即「三井金屬礦業」
日股成交值排行,42,6503,Mitsubishi Electric Corp.,三菱電機株式会社,三菱電機,高,
日股成交值排行,43,4063,"Shin-Etsu Chemical Co., Ltd.",信越化学工業株式会社,信越化學工業,高,台媒常簡稱「信越化學」
日股成交值排行,44,6723,Renesas Electronics Corporation,ルネサスエレクトロニクス株式会社,瑞薩電子,高,鉅亨網、MoneyDJ 均用「瑞薩電子」
日股成交值排行,45,5713,"Sumitomo Metal Mining Co., Ltd.",住友金属鉱山株式会社,住友金屬礦山,高,
日股成交值排行,46,7267,"Honda Motor Co., Ltd.",本田技研工業株式会社,本田汽車,高,台媒常寫「本田」或直接用 Honda
日股成交值排行,47,4004,Resonac Holdings Corporation,株式会社レゾナック・ホールディングス,力森諾科控股,中,舊名昭和電工，2023年更名；台灣子公司為台灣力森諾科，台灣財經媒體亦常直接寫 Resonac
日股成交值排行,48,6326,Kubota Corporation,株式会社クボタ,久保田,高,台灣代理商為新臺灣久保田；商號現為片假名クボタ
日股成交值排行,49,7182,"Japan Post Bank Co., Ltd.",株式会社ゆうちょ銀行,日本郵政銀行,高,日文商號為平假名ゆうちょ銀行，台媒統一譯日本郵政銀行
日股成交值排行,50,8001,Itochu Corporation,伊藤忠商事株式会社,伊藤忠商事,高,台媒常簡稱「伊藤忠」
日股成交值排行,51,6701,NEC Corporation,日本電気株式会社,NEC,高,日文正式商號為「日本電氣」，但台灣財經媒體（鉅亨、MoneyDJ）一律直接寫 NEC
日股成交值排行,52,3436,SUMCO Corporation,株式会社SUMCO,SUMCO,高,無中譯，台媒直接寫 SUMCO（全球第二大矽晶圓廠）
日股成交值排行,53,6954,Fanuc Corporation,ファナック株式会社,發那科,高,鉅亨網作「發那科」；MoneyDJ 多直接寫 Fanuc
日股成交值排行,54,9503,"Kansai Electric Power Company, Incorporated",関西電力株式会社,關西電力,高,
日股成交值排行,55,9433,KDDI Corporation,KDDI株式会社,KDDI,高,無通用中譯，台媒直接寫 KDDI（日本第二大電信）
日股成交值排行,56,6702,Fujitsu Limited,富士通株式会社,富士通,高,
日股成交值排行,57,9101,Nippon Yusen Kabushiki Kaisha,日本郵船株式会社,日本郵船,高,
日股成交值排行,58,7012,Kawasaki Heavy Industries Ltd.,川崎重工業株式会社,川崎重工,高,正式商號為川崎重工業，台媒慣稱川崎重工
日股成交值排行,59,7013,IHI Corporation,株式会社IHI,IHI,高,2007年由「石川島播磨重工業」更名，台媒直接寫 IHI
日股成交值排行,60,6273,SMC Corporation,SMC株式会社,SMC,高,台灣子公司名為「速睦喜」，但財經媒體直接寫 SMC（氣動元件龍頭）
日股成交值排行,61,5401,NIPPON STEEL CORP.,日本製鉄株式会社,日本製鐵,高,
日股成交值排行,62,2914,Japan Tobacco Inc.,日本たばこ産業株式会社,日本菸草,高,台媒亦常用簡稱「JT」
日股成交值排行,63,8591,ORIX Corporation,オリックス株式会社,歐力士,高,台灣有歐力士租賃／歐力士租車，台媒統一用「歐力士」
日股成交值排行,64,6301,Komatsu Ltd.,株式会社小松製作所,小松製作所,高,台媒亦常寫「小松」或 Komatsu
日股成交值排行,65,9104,"Mitsui O.S.K.Lines,Ltd.",株式会社商船三井,商船三井,高,
日股成交值排行,66,8053,Sumitomo Corporation,住友商事株式会社,住友商事,高,
日股成交值排行,67,8750,Daiichi Life Group. Inc.,株式会社第一ライフグループ,第一生命集團,中,2026年4月由「第一生命ホールディングス（第一生命控股）」更名；台媒目前仍多沿用「第一生命」或「第一生命控股」
日股成交值排行,68,4568,"Daiichi Sankyo Company, Limited",第一三共株式会社,第一三共,高,
日股成交值排行,69,6762,TDK Corporation,TDK株式会社,TDK,高,無中譯，台媒直接寫 TDK；台灣子公司名為「台灣東電化」
日股成交值排行,70,7735,"SCREEN Holdings Co., Ltd",株式会社SCREENホールディングス,SCREEN Holdings,中,台媒（MoneyDJ、鉅亨）多直接寫 Screen／SCREEN；舊名「大日本網屏製造」，台灣子公司稱「迪恩士」
日股成交值排行,71,8725,"MS&AD Insurance Group Holdings, Inc.",MS&ADインシュアランスグループホールディングス株式会社,MS&AD保險集團控股,中,台媒多直接寫 MS&AD，旗下為三井住友海上
日股成交值排行,72,7936,Asics Corporation,株式会社アシックス,亞瑟士,高,台灣官方名稱即「台灣亞瑟士」
日股成交值排行,73,8136,Sanrio Co. Ltd.,株式会社サンリオ,三麗鷗,高,鉅亨網作「三麗鷗株式會社」
日股成交值排行,74,8309,"Sumitomo Mitsui Trust Group, Inc.",三井住友トラストグループ株式会社,三井住友信託集團,中,2024年10月由「三井住友トラスト・ホールディングス（三井住友信託控股）」更名
日股成交值排行,75,7751,Canon Inc.,キヤノン株式会社,佳能,高,日文商號的「ヤ」為大寫，非拗音
日股成交值排行,76,5711,Mitsubishi Materials Corp.,三菱マテリアル株式会社,三菱綜合材料,高,台媒亦作「三菱材料」
日股成交值排行,77,4901,FUJIFILM Holdings Corp,富士フイルムホールディングス株式会社,富士軟片控股,高,日文商號「フイルム」為大寫イ
日股成交值排行,78,1605,Inpex Corporation,株式会社INPEX,INPEX,高,2021年由「國際石油開發帝石」更名，台媒直接寫 INPEX
日股成交值排行,79,6330,Toyo Engineering Corporation,東洋エンジニアリング株式会社,東洋工程,中,日文商號為片假名，台媒依英文意譯為「東洋工程」，亦有直接寫 Toyo Engineering
日股成交值排行,80,8802,"Mitsubishi Estate Company, Limited",三菱地所株式会社,三菱地所,高,
日股成交值排行,81,3382,"Seven & I Holdings Co., Ltd.",株式会社セブン＆アイ・ホールディングス,7&I控股,中,鉅亨網作「7&I控股」；台媒亦常寫 Seven & i 或「7-11母公司」。曾規劃更名為 Seven-Eleven Corporation，2025年股東會延後
日股成交值排行,82,8308,"Resona Holdings, Inc.",株式会社りそなホールディングス,里索那控股,中,台媒常直接寫 Resona；中文維基與該行中文網頁用「里索那」
日股成交值排行,83,4519,"Chugai Pharmaceutical Co., Ltd.",中外製薬株式会社,中外製藥,高,
日股成交值排行,84,9434,SoftBank Corp.,ソフトバンク株式会社,軟銀公司,高,電信本業公司，須與母公司「軟銀集團」（9984 SoftBank Group）區分
日股成交值排行,85,7272,"Yamaha Motor Co., Ltd.",ヤマハ発動機株式会社,山葉發動機,高,鉅亨網作「山葉發動機」，台媒亦寫 Yamaha 發動機
日股成交值排行,86,7269,Suzuki Motor Corp.,スズキ株式会社,鈴木汽車,高,日文正式商號為片假名「スズキ」，台媒沿用漢字「鈴木」
