統計日,代號,名稱,最大月漲幅(%),市場
2026/08/30,8291,尚茂,444.22,上櫃
2026/08/30,6173,信昌電陶,176.55,上櫃
2026/08/30,3581,博磊,168.71,上櫃
2026/08/30,8042,金山電子,163.65,上櫃
2026/08/30,6861,睿生光電,160.32,上市
2026/08/30,5464,霖宏科技,151.52,上櫃
2026/08/30,6182,合晶科技,148.13,上櫃
2026/08/30,6147,頎邦科技,134.53,上櫃
2026/08/30,3167,大量,133.65,上市
2026/08/30,5321,美而快,127.95,上櫃
2026/08/30,5386,青雲國際,126.22,上櫃
2026/08/30,4764,雙鍵,120.51,上市
2026/08/30,6735,美達科技,119.71,上櫃
2026/08/30,3624,光頡科技,116.54,上櫃
2026/08/30,3054,立萬利,115.29,上市
2026/08/30,4908,前鼎光電,112.94,上櫃
2026/08/30,6829,千附精密,108.94,上櫃
2026/08/30,6658,聯策,108.51,上市
2026/08/30,2486,一詮,104.15,上市
2026/08/30,4958,臻鼎-KY,103.87,上市
2026/08/30,7750,新代,103.56,上市
2026/08/30,3229,晟鈦,103.3,上市
2026/08/30,6907,雅特力-KY,101.41,上櫃
2026/08/30,5475,德宏工業,99.53,上櫃
2026/08/30,3037,欣興,98.65,上市
2026/08/30,6830,汎銓,98.09,上市
2026/08/30,3443,創意,96.77,上市
2026/08/30,3455,由田新技,96.76,上櫃
2026/08/30,8455,大拓-KY,95.57,上櫃
2026/08/30,4760,勤凱,94.19,上櫃
2026/08/30,4973,廣穎,92.54,上櫃
2026/08/30,8046,南電,92.53,上市
2026/08/30,3675,德微,90.32,上櫃
2026/08/30,6531,愛普*,90.05,上市
2026/08/30,6789,采鈺,89.47,上市
2026/08/30,6234,高僑,89.25,上櫃
2026/08/30,3191,雲嘉南,88.93,上櫃
2026/08/30,5228,鈺鎧,88.24,上櫃
2026/08/30,1309,台達化,88.16,上市
2026/08/30,6224,聚鼎,87.71,上市
2026/08/30,2061,風青,87.6,上櫃
2026/08/30,6715,嘉基,86.45,上市
2026/08/30,2485,兆赫,85.55,上市
2026/08/30,5425,台半,85.51,上櫃
2026/08/30,4556,旭然,85.44,上櫃
2026/08/30,1785,光洋科技,84.92,上櫃
2026/08/30,3236,千如電機,84.87,上櫃
2026/08/30,7556,意德士,82.39,上櫃
2026/08/30,7610,聯友金屬-創,82.34,上市
2026/08/30,6213,聯茂,81.82,上市
2026/08/30,6432,今展科,81.72,上櫃
2026/08/30,6278,台表科,81.62,上市
2026/08/30,1595,川寶,81.55,上櫃
2026/08/30,2426,鼎元,80.76,上市
2026/08/30,3577,泓格科技,80.41,上櫃
2026/08/30,4951,精拓科,80.3,上櫃
2026/08/30,4127,天良,79.92,上櫃
2026/08/30,4707,磐亞,79.75,上櫃
2026/08/30,3537,堡達,79.7,上櫃
2026/08/30,5328,華容,79.55,上櫃
2026/08/30,2243,宏旭-KY,79.42,上市
2026/08/30,3284,太普高,79.06,上櫃
2026/08/30,4979,華星光,78.33,上櫃
2026/08/30,3388,崇越電通,78.07,上櫃
2026/08/30,3430,奇鈦科,77.58,上櫃
2026/08/30,6274,台燿科技,77.5,上櫃
2026/08/30,5468,凱鈺科技,77.39,上櫃
2026/08/30,6141,柏承,76,上市
2026/08/30,7751,竑騰,75.36,上櫃
2026/08/30,2454,聯發科,75.17,上市
2026/08/30,6488,環球晶,75,上櫃
2026/08/30,2383,台光電,74.81,上市
2026/08/30,4989,榮科,74.65,上市
2026/08/30,3583,辛耘,74.64,上市
2026/08/30,6672,騰輝電子-KY,74.5,上市
2026/08/30,6217,中國探針,74.49,上櫃
2026/08/30,8155,博智,74.42,上櫃
2026/08/30,3357,臺慶科,73.94,上櫃
2026/08/30,4991,環宇-KY,73.33,上櫃
2026/08/30,3016,嘉晶,73.17,上市
2026/08/30,6207,雷科,72.87,上櫃
2026/08/30,3498,陽程,72.18,上櫃
2026/08/30,3362,先進光,71.82,上櫃
2026/08/30,6716,應廣,71.74,上櫃
2026/08/30,6654,天正國際,71.3,上櫃
2026/08/30,7730,暉盛-創,70.53,上市
2026/08/30,6205,詮欣,70.28,上市
2026/08/30,3163,波若威,70.18,上櫃
