資料日期,開盤,最高,最低,收盤,漲跌,成交值,成交股數,外資買進,外資賣出,外資買賣超,投信買進,投信賣出,投信買賣超,自營買進,自營賣出,自營買賣超,合計買進,合計賣出,合計買賣超
2025-07-01 00:00:00,231.4,233.89,231.4,232.21,0.86,89760000000,781979000,19958492197,21077032693,-1118540496,3609519863,3845092398,-235572535,1602779178,1468108221,134670957,25170791238,26390233312,-1219442074
2025-07-02 00:00:00,232,233.48,231.83,232.92,0.71,87689000000,754408000,21838631134,20926873874,911757260,1829013609,3880960599,-2051946990,1336965936,1280862482,56103454,25004610679,26088696955,-1084086276
2025-07-03 00:00:00,233.13,235.31,233.13,234.6,1.68,93434000000,792050000,21679114369,21690628430,-11514061,5240272868,2046313583,3193959285,1803555650,1699477685,104077965,28722942887,25436419698,3286523189
2025-07-04 00:00:00,234.36,235.36,231.57,231.61,-2.99,103703000000,829715000,22055147397,23362888035,-1307740638,2078534510,1608320733,470213777,1550437944,2129550619,-579112675,25684119851,27100759387,-1416639536
2025-07-07 00:00:00,231.48,231.95,228.8,228.94,-2.67,82240000000,716556000,18454292890,20079377387,-1625084497,2322207375,2441250626,-119043251,1310430333,1358458351,-48028018,22086930598,23879086364,-1792155766
2025-07-08 00:00:00,228.68,228.68,226.44,228.22,-0.72,77848000000,722871000,20095565890,18821979075,1273586815,879893105,1378197317,-498304212,1292102620,1406462452,-114359832,22267561615,21606638844,660922771
2025-07-09 00:00:00,228.1,230.89,227.66,230.79,2.57,90461000000,752767000,21557648674,21679843437,-122194763,2642972632,944882400,1698090232,1928955833,1253447701,675508132,26129577139,23878173538,2251403601
2025-07-10 00:00:00,230.73,232.23,230.73,231.02,0.23,111450000000,893112000,24814411803,25183922841,-369511038,2221725348,959995628,1261729720,1927396992,1939070532,-11673540,28963534143,28082989001,880545142
2025-07-11 00:00:00,231.03,232.92,231.03,232.49,1.47,104676000000,920772000,24865847897,24145633280,720214617,1676140200,1311794303,364345897,1530297447,1797089671,-266792224,28072285544,27254517254,817768290
2025-07-14 00:00:00,232.36,232.62,230.58,230.59,-1.9,73293000000,682529000,18247168856,18875488754,-628319898,445718250,696712211,-250993961,1174353072,1550587517,-376234445,19867240178,21122788482,-1255548304
