市場,股票代號,英文名稱,原文名稱,中文名稱,信心,備註,成交值排行,市值排行
日股,285A,Kioxia Holdings Corporation,キオクシアホールディングス株式会社,鎧俠控股,高,鉅亨網、經濟日報均稱「鎧俠」；台媒亦常寫 Kioxia（鎧俠）,1,4
日股,8306,"Mitsubishi UFJ Financial Group, Inc.",株式会社三菱UFJフィナンシャル・グループ,三菱UFJ金融集團,高,,10,1
日股,6857,Advantest Corp.,株式会社アドバンテスト,愛德萬測試,高,鉅亨網個股名稱即「愛德萬測試(株)」；台灣子公司為愛德萬測試股份有限公司,2,8
日股,7203,Toyota Motor Corp.,トヨタ自動車株式会社,豐田汽車,高,,14,2
日股,5803,Fujikura Ltd,株式会社フジクラ,藤倉,高,鉅亨網作「藤倉株式會社」；商號現為片假名フジクラ，舊漢字為藤倉電線,3,30
日股,9984,SoftBank Group Corp.,ソフトバンクグループ株式会社,軟銀集團,高,鉅亨網亦作「軟體銀行集團」；台媒最常用「軟銀」,6,3
日股,278A,Terra Drone Corporation,Terra Drone株式会社（テラドローン）,Terra Drone,中,經濟日報、DIGITIMES 皆直接寫英文原名 Terra Drone，無通行中文譯名,4,
日股,6976,"Taiyo Yuden Co., Ltd.",太陽誘電株式会社,太陽誘電,高,工商時報、科技新報均用「太陽誘電」,5,
日股,8316,"Sumitomo Mitsui Financial Group, Inc.",株式会社三井住友フィナンシャルグループ,三井住友金融集團,高,,18,5
日股,8035,Tokyo Electron Ltd.,東京エレクトロン株式会社,東京威力科創,高,鉅亨網個股名稱即「東京威力科創」，台灣子公司同名；部分媒體寫東京電子,8,6
日股,6525,Kokusai Electric Corporation,株式会社Kokusai Electric,Kokusai Electric,中,鉅亨網、經濟日報、聯合報均直接寫 KOKUSAI／Kokusai Electric；舊名國際電氣（日立國際電氣半導體部門）,7,
日股,6501,"Hitachi, Ltd.",株式会社日立製作所,日立製作所,高,台媒常簡稱「日立」,25,7
日股,6981,"Murata Manufacturing Co., Ltd.",株式会社村田製作所,村田製作所,高,台媒常簡稱「村田」,9,19
日股,6098,"Recruit Holdings Co., Ltd.",株式会社リクルートホールディングス,瑞可利控股,中,台媒常寫 Recruit（瑞可利）；英文原名出現頻率亦高,13,9
日股,6758,Sony Group Corporation,ソニーグループ株式会社,索尼集團,高,台媒多直接寫 Sony；台灣舊譯「新力」已於2009年正名為索尼,17,10
日股,4062,"IBIDEN CO., LTD.",イビデン株式会社,揖斐電,高,工商時報、鉅亨網均用「揖斐電（Ibiden）」,11,52
日股,9983,"FAST RETAILING CO., LTD.",株式会社ファーストリテイリング,迅銷,高,公司官方繁中名為迅銷集團；台媒常寫「優衣庫（UNIQLO）母公司迅銷」,12,11
日股,8411,"Mizuho Financial Group, Inc.",株式会社みずほフィナンシャルグループ,瑞穗金融集團,高,日文商號為平假名みずほ，漢字原為瑞穂,15,12
