排名,代號,收盤價,漲跌,漲跌幅(%),成交金額(億美元),更新時間
1,NVDA,217.55,-10.43,-4.57,424.48,2026-08-31 01:36:00
2,MU,932.86,-2.53,-0.27,213.53,2026-08-31 01:36:00
3,MSFT,513.53,8.47,1.68,149.99,2026-08-31 01:36:00
4,AMZN,266.43,10.17,3.97,132.01,2026-08-31 01:36:00
5,AAPL,319.7,5.12,1.63,123.56,2026-08-31 01:36:00
6,SNDK,1484.98,0.03,0,120.9,2026-08-31 01:36:00
7,TSLA,348.75,-6.06,-1.71,114.99,2026-08-31 01:36:00
8,MRVL,216.62,-24.83,-10.28,106.1,2026-08-31 01:36:00
9,META,578.02,6.92,1.21,92.73,2026-08-31 01:36:00
10,CRM,256,3.95,1.57,87.97,2026-08-31 01:36:00
11,SPCX,141.5,0.63,0.45,77.98,2026-08-31 01:36:00
12,INTC,89.47,-2.62,-2.85,77.1,2026-08-31 01:36:00
13,AMD,465.58,-11.09,-2.33,71.58,2026-08-31 01:36:00
14,AVGO,368.79,-2.75,-0.74,61.2,2026-08-31 01:36:00
15,GOOG,342.88,5.17,1.53,61.18,2026-08-31 01:36:00
16,PLTR,186.29,0.36,0.19,46.68,2026-08-31 01:36:00
17,NOW,144.71,6.28,4.54,42.01,2026-08-31 01:36:00
18,MSTR,127.31,-10.09,-7.34,39.82,2026-08-31 01:36:00
19,MRNA,137.99,-4.78,-3.35,35.63,2026-08-31 01:36:00
20,CRWD,218.4,-9.56,-4.19,32.17,2026-08-31 01:36:00
21,IREN,35.45,-5.08,-12.53,31.86,2026-08-31 01:36:00
22,LITE,895,-61.14,-6.39,30.86,2026-08-31 01:36:00
23,AMAT,461.67,-20.69,-4.29,30.16,2026-08-31 01:36:00
24,LLY,1174.61,-1.49,-0.13,28.8,2026-08-31 01:36:00
25,NBIS,209.18,-9.3,-4.26,27.45,2026-08-31 01:36:00
26,ORCL,150.85,-1.09,-0.72,26.85,2026-08-31 01:36:00
27,LRCX,301.9,-16.68,-5.24,24.33,2026-08-31 01:36:00
28,BE,210.77,-7.06,-3.24,24.04,2026-08-31 01:36:00
29,NFLX,81.72,1.88,2.35,23.77,2026-08-31 01:36:00
30,STX,829.76,-17.44,-2.06,23.28,2026-08-31 01:36:00
31,AFRM,77.76,0.27,0.35,22.62,2026-08-31 01:36:00
32,PANW,371.59,-11.26,-2.94,21.72,2026-08-31 01:36:00
33,APP,317.76,5.13,1.64,21.07,2026-08-31 01:36:00
34,BAC,62.32,1.15,1.88,20.89,2026-08-31 01:36:00
35,WMT,103.09,0.46,0.45,20.02,2026-08-31 01:36:00
36,WDC,459.45,-2.55,-0.55,19.86,2026-08-31 01:36:00
37,PYPL,53.66,-7.81,-12.71,19.5,2026-08-31 01:36:00
38,PCG,16.6,-1.35,-7.52,18.99,2026-08-31 01:36:00
39,DELL,456.24,-16.02,-3.39,18.04,2026-08-31 01:36:00
40,COIN,178.64,-12.08,-6.33,17.89,2026-08-31 01:36:00
41,XOM,156.71,0.27,0.17,17.81,2026-08-31 01:36:00
42,WDAY,204.72,11.15,5.76,17.75,2026-08-31 01:36:00
43,V,381.6,1.94,0.51,17.73,2026-08-31 01:36:00
44,KLAC,175.54,-8.23,-4.48,17.5,2026-08-31 01:36:00
45,GEV,911.93,-41.9,-4.39,17.27,2026-08-31 01:36:00
46,HOOD,104.26,-5.5,-5.01,16.98,2026-08-31 01:36:00
47,C,132.9,0.22,0.17,16.07,2026-08-31 01:36:00
48,JNJ,268.04,2.27,0.85,15.46,2026-08-31 01:36:00
49,TXN,258.64,-7.9,-2.96,15.16,2026-08-31 01:36:00
50,INTU,358.06,10.06,2.89,14.76,2026-08-31 01:36:00
