週結束日,代號,名稱,漲幅(%),市場
2026/09/18,6226,光鼎,52.33,上市
2026/09/18,2305,全友,43,上市
2026/09/18,6218,豪勉科技,37.19,上櫃
2026/09/18,6221,晉泰科技,35.19,上櫃
2026/09/18,6715,嘉基,34.68,上市
2026/09/18,6945,圓祥生技,34.01,上櫃
2026/09/18,2221,大甲,33.65,上櫃
2026/09/18,4956,光鋐,32.92,上市
2026/09/18,3467,台灣精材,32.08,上櫃
2026/09/18,6168,宏齊,31.92,上市
2026/09/18,6140,訊達電腦,31.33,上櫃
2026/09/18,5202,力新國際,31.06,上櫃
2026/09/18,6683,雍智科技,29.46,上櫃
2026/09/18,3066,李洲科技,28.88,上櫃
2026/09/18,6103,合邦電子,28.55,上櫃
2026/09/18,6148,驊宏資通,28.55,上櫃
2026/09/18,2468,華經,28.07,上市
2026/09/18,6147,頎邦科技,26.52,上櫃
2026/09/18,3094,聯傑,26.41,上市
2026/09/18,3605,宏致,25.71,上市
2026/09/18,6668,中揚光,25.32,上市
2026/09/18,6204,台灣艾華,24.58,上櫃
2026/09/18,4924,欣厚-KY,24,上櫃
2026/09/18,6426,統新,23.68,上市
2026/09/18,3437,榮創,23.14,上市
2026/09/18,5251,天鉞電,22.87,上櫃
2026/09/18,3297,杭特電子,22.82,上櫃
2026/09/18,7799,禾榮科,21.59,上市
2026/09/18,6840,東研信超,21.35,上櫃
2026/09/18,3138,耀登,21.35,上市
2026/09/18,3609,三一東林,21.33,上櫃
2026/09/18,6742,澤米,21.02,上市
2026/09/18,3287,廣寰科,21,上櫃
2026/09/18,3031,佰鴻,20.55,上市
2026/09/18,6620,漢達,20.16,上櫃
2026/09/18,3002,歐格,19.94,上市
2026/09/18,2489,瑞軒,19.65,上市
2026/09/18,2033,佳大,19.37,上市
2026/09/18,6925,意藍,19.32,上櫃
2026/09/18,3717,聯嘉投控,19.24,上市
2026/09/18,3664,安瑞-KY,19.15,上櫃
2026/09/18,5355,佳總興業,18.68,上櫃
2026/09/18,1727,中華化,18.3,上市
2026/09/18,8064,東捷科技,18.26,上櫃
2026/09/18,6811,宏碁資訊,18.18,上櫃
2026/09/18,3665,貿聯-KY,17.87,上市
2026/09/18,7772,耀穎,17.8,上櫃
2026/09/18,4923,力士,17.6,上櫃
2026/09/18,6603,富強鑫,17.25,上櫃
2026/09/18,6957,裕慶-KY,16.85,上市
2026/09/18,3443,創意,16.83,上市
2026/09/18,8227,巨有科技,16.74,上櫃
2026/09/18,2254,巨鎧精密-創,16.72,上市
2026/09/18,6885,全福生技,16.61,上市
2026/09/18,6133,金橋,16.56,上市
2026/09/18,6902,GOGOLOOK,16.53,上市
2026/09/18,3264,欣銓科技,16.49,上櫃
2026/09/18,3178,公準,16.36,上櫃
2026/09/18,3580,友威科,16.35,上櫃
2026/09/18,6533,晶心科,16.34,上市
2026/09/18,6589,台康生技,16.34,上市
2026/09/18,7717,萊德光電-KY,16.05,上櫃
2026/09/18,1528,恩德,16.04,上市
2026/09/18,8045,達運光電,15.68,上市
2026/09/18,6257,矽格,15.6,上市
2026/09/18,6590,普鴻,15.57,上櫃
2026/09/18,6234,高僑,15.1,上櫃
2026/09/18,4979,華星光,15.07,上櫃
2026/09/18,6560,欣普羅,15.02,上櫃
